id;position;points;scored_goals;lost_goals;wins;draws;losses;team_id
1;42387;57222;89132;70960;67052;99055;88822;1
2;70285;74166;99462;58727;25906;22639;96959;2
3;71205;77250;88884;14174;6662;87121;31105;3
4;30247;52672;29790;74285;350;88896;14464;4
5;60762;30038;27698;77062;52098;21609;97348;5
6;54388;36695;25618;54980;33803;85809;15626;6
7;84759;47598;86366;82525;43623;34659;99602;7
8;85447;63187;18750;37882;77938;12632;35455;8
9;30638;82754;35904;67266;58092;94322;7936;9
10;23914;99185;25462;57066;1131;71336;1135;10
